epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11699.6,0.80662,1.56948,1.08891,0.31557,0.57392,0.36439,0.29398,0.6521,1.40548,0.98844,0.005842,0.005842,0.005842
44,11966.3,0.79986,1.55907,1.08434,0.32058,0.56552,0.37132,0.30164,0.64885,1.39577,0.98755,0.005743,0.005743,0.005743
45,12230,0.79839,1.54635,1.08056,0.32474,0.55993,0.37945,0.30894,0.64072,1.38755,0.98069,0.005644,0.005644,0.005644
46,12496.4,0.79244,1.53624,1.07976,0.32504,0.57087,0.3867,0.31363,0.63608,1.37654,0.9771,0.005545,0.005545,0.005545
47,12760.2,0.79044,1.52496,1.07671,0.33812,0.56402,0.39075,0.31718,0.63828,1.37491,0.97896,0.005446,0.005446,0.005446
48,13027.3,0.78228,1.52166,1.07478,0.33894,0.55164,0.39556,0.32142,0.64075,1.37196,0.97994,0.005347,0.005347,0.005347
49,13295.5,0.78416,1.50699,1.07393,0.34294,0.55486,0.39928,0.32478,0.63884,1.36429,0.97862,0.005248,0.005248,0.005248
50,13563.2,0.77934,1.50186,1.06952,0.34453,0.56592,0.40684,0.33212,0.63407,1.35217,0.97603,0.005149,0.005149,0.005149
51,13830.3,0.77101,1.48551,1.06795,0.34719,0.55222,0.41455,0.33822,0.6372,1.34796,0.97848,0.00505,0.00505,0.00505
52,14093.1,0.77947,1.48912,1.06775,0.36032,0.53342,0.41779,0.34152,0.6341,1.34497,0.97603,0.004951,0.004951,0.004951
53,14356.2,0.76799,1.47221,1.06849,0.36192,0.53861,0.41992,0.34282,0.63196,1.34309,0.97489,0.004852,0.004852,0.004852
54,14619,0.76365,1.45823,1.06232,0.36327,0.54364,0.42562,0.34896,0.62651,1.33748,0.9707,0.004753,0.004753,0.004753
55,14884.8,0.7703,1.45865,1.06975,0.35722,0.5527,0.42734,0.35179,0.62532,1.33431,0.9704,0.004654,0.004654,0.004654
56,15150.8,0.76562,1.446,1.06148,0.36333,0.55762,0.43244,0.35618,0.62674,1.32912,0.97173,0.004555,0.004555,0.004555
57,15415.2,0.75621,1.43112,1.06174,0.3715,0.54492,0.43695,0.35839,0.62593,1.32134,0.97042,0.004456,0.004456,0.004456
58,15682.7,0.7521,1.4219,1.05967,0.375,0.54864,0.43812,0.35854,0.62543,1.32114,0.96945,0.004357,0.004357,0.004357
59,15947,0.75897,1.41103,1.05909,0.38432,0.53086,0.44148,0.36088,0.62332,1.31935,0.96691,0.004258,0.004258,0.004258
60,16320.5,0.74716,1.39712,1.05588,0.38807,0.53303,0.4474,0.36664,0.62187,1.31534,0.96472,0.004159,0.004159,0.004159
61,16611,0.74254,1.39327,1.05307,0.39621,0.53436,0.45117,0.37056,0.6222,1.30973,0.96566,0.00406,0.00406,0.00406
62,16879.6,0.73792,1.36655,1.05066,0.39756,0.54042,0.45311,0.37249,0.62181,1.3061,0.96581,0.003961,0.003961,0.003961
63,17145.8,0.73688,1.36567,1.04568,0.40365,0.53283,0.45668,0.37524,0.62165,1.30212,0.96564,0.003862,0.003862,0.003862
64,17412.3,0.73485,1.36014,1.04788,0.40693,0.53393,0.46097,0.37977,0.62121,1.29516,0.96587,0.003763,0.003763,0.003763
65,17682.6,0.73441,1.3415,1.04711,0.41077,0.53226,0.46495,0.38369,0.62028,1.29062,0.96567,0.003664,0.003664,0.003664
66,17945.4,0.72904,1.33978,1.04776,0.41444,0.52794,0.46732,0.38663,0.61943,1.28585,0.9652,0.003565,0.003565,0.003565
67,18207.4,0.72798,1.31853,1.04366,0.42084,0.52267,0.47058,0.38998,0.61783,1.28033,0.96427,0.003466,0.003466,0.003466
68,18471.5,0.72735,1.31289,1.0447,0.41832,0.53372,0.47365,0.39274,0.61689,1.27789,0.96338,0.003367,0.003367,0.003367
69,18735.4,0.7248,1.30218,1.04246,0.42071,0.532,0.47725,0.39574,0.61668,1.27432,0.96351,0.003268,0.003268,0.003268
70,18998.8,0.72184,1.28856,1.04176,0.42716,0.52671,0.48073,0.39854,0.61552,1.27032,0.96272,0.003169,0.003169,0.003169
71,19263.3,0.7194,1.2852,1.03962,0.42182,0.53662,0.48306,0.40046,0.61448,1.2669,0.96236,0.00307,0.00307,0.00307
72,19529.5,0.71918,1.27786,1.04037,0.42552,0.53913,0.48604,0.40333,0.61373,1.26252,0.96252,0.002971,0.002971,0.002971
73,19797.8,0.71517,1.2662,1.0382,0.4206,0.54921,0.48905,0.40601,0.61317,1.25888,0.96246,0.002872,0.002872,0.002872
74,20061.3,0.7137,1.25497,1.03689,0.42716,0.54285,0.491,0.4081,0.61248,1.25596,0.96248,0.002773,0.002773,0.002773
75,20329.9,0.70983,1.24103,1.03616,0.43292,0.54298,0.4942,0.41083,0.61185,1.25389,0.96223,0.002674,0.002674,0.002674
76,20593.9,0.70609,1.22699,1.03182,0.43676,0.5346,0.49602,0.41286,0.61139,1.252,0.9619,0.002575,0.002575,0.002575
77,20859.4,0.70928,1.21711,1.03562,0.44025,0.53508,0.49806,0.4153,0.61177,1.24999,0.96222,0.002476,0.002476,0.002476
78,21124.2,0.70088,1.20655,1.03233,0.44315,0.53287,0.50045,0.41766,0.61127,1.24762,0.96187,0.002377,0.002377,0.002377
79,21388.6,0.70052,1.18937,1.0291,0.44038,0.53716,0.50221,0.41899,0.61109,1.24598,0.9619,0.002278,0.002278,0.002278
80,21655.3,0.68977,1.17657,1.02578,0.44316,0.53909,0.50434,0.42067,0.61075,1.24446,0.96176,0.002179,0.002179,0.002179
81,21918.6,0.69622,1.1826,1.02591,0.44443,0.54275,0.50627,0.42186,0.61043,1.24282,0.96174,0.00208,0.00208,0.00208
82,22184,0.68741,1.16525,1.02505,0.44515,0.54507,0.508,0.42332,0.60999,1.24136,0.96151,0.001981,0.001981,0.001981
83,22450.9,0.68084,1.14356,1.0218,0.45225,0.54199,0.50968,0.42463,0.6095,1.23958,0.96141,0.001882,0.001882,0.001882
84,22716.4,0.6876,1.14863,1.02499,0.45366,0.542,0.51114,0.426,0.60894,1.23779,0.96147,0.001783,0.001783,0.001783
85,22981.3,0.68572,1.13502,1.02422,0.4542,0.54305,0.51258,0.42739,0.60874,1.23606,0.96137,0.001684,0.001684,0.001684
86,23250.2,0.68404,1.12482,1.02287,0.4553,0.54512,0.51418,0.42858,0.60831,1.23434,0.96106,0.001585,0.001585,0.001585
87,23514.2,0.67651,1.10705,1.01979,0.45767,0.54449,0.51595,0.43004,0.60824,1.23273,0.96108,0.001486,0.001486,0.001486
88,23779.3,0.67186,1.09989,1.01453,0.45882,0.54532,0.51738,0.4314,0.60821,1.23127,0.9609,0.001387,0.001387,0.001387
89,24041.3,0.66851,1.09091,1.01427,0.45841,0.54578,0.51904,0.43291,0.60796,1.22979,0.96063,0.001288,0.001288,0.001288
90,24307.3,0.67057,1.0777,1.01527,0.46467,0.54312,0.52031,0.43414,0.60793,1.22847,0.96072,0.001189,0.001189,0.001189
91,24572.5,0.55314,0.85504,0.93895,0.46421,0.54624,0.52137,0.43526,0.60785,1.22772,0.96081,0.00109,0.00109,0.00109
92,24835.5,0.54354,0.82864,0.93501,0.46596,0.54485,0.52262,0.43613,0.60794,1.22632,0.96074,0.000991,0.000991,0.000991
93,25095,0.53636,0.80635,0.93221,0.46504,0.54809,0.5238,0.43744,0.60788,1.2258,0.96085,0.000892,0.000892,0.000892
94,25358.7,0.53414,0.79465,0.93,0.46802,0.54603,0.52473,0.43801,0.60804,1.22502,0.96093,0.000793,0.000793,0.000793
95,25620.1,0.52847,0.77713,0.92689,0.47173,0.5429,0.52576,0.43927,0.60806,1.2242,0.96095,0.000694,0.000694,0.000694
96,25884.7,0.52378,0.76453,0.92646,0.47295,0.54646,0.52659,0.4401,0.6083,1.22357,0.96108,0.000595,0.000595,0.000595
97,26149.4,0.51827,0.74806,0.92237,0.47543,0.54386,0.52751,0.44125,0.60809,1.22291,0.961,0.000496,0.000496,0.000496
98,26412.3,0.52294,0.73865,0.9224,0.48095,0.53787,0.52824,0.44164,0.60804,1.22259,0.9609,0.000397,0.000397,0.000397
99,26674.6,0.51741,0.73316,0.92145,0.4786,0.54191,0.52885,0.44231,0.60811,1.2222,0.96094,0.000298,0.000298,0.000298
100,26934.3,0.51264,0.72431,0.92207,0.47839,0.54272,0.52942,0.4429,0.608,1.22147,0.96079,0.000199,0.000199,0.000199
