epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,12880.1,0.7873,0.94773,1.0785,0.7944,0.67016,0.77547,0.64302,0.64309,0.75224,0.97611,0.005842,0.005842,0.005842
44,13152.6,0.78045,0.94318,1.07433,0.78212,0.6757,0.77211,0.64027,0.64185,0.74999,0.97625,0.005743,0.005743,0.005743
45,13422.5,0.77809,0.93186,1.07288,0.79301,0.67959,0.77615,0.6432,0.64041,0.7463,0.97409,0.005644,0.005644,0.005644
46,13694.1,0.78107,0.92848,1.0724,0.79626,0.68053,0.7811,0.64976,0.63592,0.73766,0.9706,0.005545,0.005545,0.005545
47,13961.5,0.77545,0.92287,1.07069,0.79595,0.68162,0.78298,0.65184,0.63534,0.7331,0.97188,0.005446,0.005446,0.005446
48,14229.1,0.7743,0.91658,1.06885,0.84006,0.65119,0.77819,0.6492,0.63314,0.73371,0.97,0.005347,0.005347,0.005347
49,14498.8,0.77604,0.90867,1.06903,0.81355,0.65666,0.77419,0.64489,0.63009,0.73361,0.96899,0.005248,0.005248,0.005248
50,14767.3,0.77078,0.89226,1.06864,0.80397,0.66428,0.77699,0.64726,0.62656,0.72517,0.96702,0.005149,0.005149,0.005149
51,15037.7,0.76712,0.89056,1.06617,0.82486,0.66842,0.78448,0.65479,0.62636,0.71893,0.96798,0.00505,0.00505,0.00505
52,15308.6,0.7616,0.88813,1.06172,0.81356,0.68567,0.79082,0.66045,0.61927,0.713,0.96331,0.004951,0.004951,0.004951
53,15584.3,0.75746,0.87978,1.05869,0.81501,0.69061,0.79139,0.66095,0.6192,0.70934,0.96304,0.004852,0.004852,0.004852
54,15856.2,0.75282,0.86983,1.05844,0.80871,0.69113,0.79318,0.6609,0.61923,0.70601,0.96329,0.004753,0.004753,0.004753
55,16129.7,0.75323,0.86586,1.05889,0.80459,0.69834,0.79685,0.66578,0.61566,0.69886,0.96242,0.004654,0.004654,0.004654
56,16397.2,0.74824,0.86006,1.0558,0.81498,0.69475,0.79865,0.66752,0.61392,0.69632,0.96109,0.004555,0.004555,0.004555
57,16668.6,0.7456,0.84841,1.0519,0.79529,0.71353,0.79922,0.66936,0.61323,0.6939,0.96009,0.004456,0.004456,0.004456
58,16941.4,0.74263,0.84844,1.05136,0.81793,0.69801,0.79697,0.66854,0.61272,0.6952,0.96067,0.004357,0.004357,0.004357
59,17213.7,0.73945,0.8355,1.04829,0.81686,0.70123,0.79822,0.66869,0.61466,0.69315,0.96209,0.004258,0.004258,0.004258
60,17482.7,0.73773,0.83605,1.04708,0.82338,0.70217,0.79871,0.66953,0.61145,0.69013,0.96001,0.004159,0.004159,0.004159
61,17754.6,0.73341,0.82496,1.04673,0.81869,0.70003,0.79903,0.67188,0.60953,0.6891,0.95824,0.00406,0.00406,0.00406
62,18025.4,0.73178,0.81351,1.04347,0.82541,0.69119,0.79834,0.67226,0.60883,0.68561,0.95808,0.003961,0.003961,0.003961
63,18299.9,0.73541,0.82606,1.04525,0.81531,0.69158,0.7975,0.67235,0.61043,0.68557,0.96009,0.003862,0.003862,0.003862
64,18572.5,0.71525,0.80261,1.0375,0.85315,0.66864,0.79797,0.67291,0.60785,0.68294,0.95804,0.003763,0.003763,0.003763
65,18845.3,0.72289,0.80457,1.0435,0.84358,0.67337,0.79899,0.67487,0.60677,0.67904,0.95709,0.003664,0.003664,0.003664
66,19118.5,0.71754,0.80303,1.04071,0.8198,0.68889,0.79924,0.67406,0.60569,0.67874,0.95583,0.003565,0.003565,0.003565
67,19392.8,0.71557,0.78598,1.03672,0.81051,0.69285,0.79903,0.67434,0.60536,0.67776,0.95565,0.003466,0.003466,0.003466
68,19666.3,0.71219,0.79046,1.03762,0.80694,0.69492,0.79843,0.67446,0.6041,0.676,0.95509,0.003367,0.003367,0.003367
69,19939.4,0.70915,0.77702,1.03436,0.83208,0.68017,0.79735,0.67381,0.60347,0.67672,0.95507,0.003268,0.003268,0.003268
70,20211.3,0.70809,0.77373,1.03386,0.84151,0.67455,0.79715,0.67444,0.60252,0.67516,0.95473,0.003169,0.003169,0.003169
71,20484,0.70316,0.76253,1.03394,0.83365,0.67842,0.79764,0.67525,0.60085,0.67391,0.95373,0.00307,0.00307,0.00307
72,20757.5,0.69893,0.75939,1.02555,0.82133,0.68501,0.79868,0.67664,0.59956,0.67305,0.95284,0.002971,0.002971,0.002971
73,21032.2,0.69353,0.74564,1.0266,0.82415,0.68622,0.79994,0.678,0.59902,0.6704,0.95276,0.002872,0.002872,0.002872
74,21305.9,0.69535,0.75457,1.02626,0.80122,0.70404,0.80133,0.67984,0.598,0.66958,0.9524,0.002773,0.002773,0.002773
75,21577.1,0.6858,0.74172,1.02373,0.81514,0.69553,0.80169,0.67996,0.5977,0.66808,0.95232,0.002674,0.002674,0.002674
